"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"chrysoberylz","11 July 2013","*9 / 10 This first thing that came into my mind when I watched the trailer is that this movie is like Mobile Suit Gundam. Yeah, that anime. Unless that the robot is controlled by two pilots. The robots here are called ""Jaeger"". Then the monsters. Godzilla's friends? Ultraman's new nemesis? They call the monsters ""Kaiju"".I have great expectation in this movie. Guillermo del Toro is a director with lots of experience and I don't think that this movie will go wrong or mocked by the audience. Not only as director, he also wrote the screenplay! We know that Guillermo del Toro is not just a director, he is also a writer, sometimes as producer, too. We all know that his Hellboy movies are awesome so this Pacific Rim should be entertaining.The movie's prologue told us about the Kaiju attack all around the world. Then the human race built giant robots to fight the Kaiju to save the world. Then the main characters were introduced one by one. Their past, their characters, and their craziness. The storyline is set in perfect proportion and perfect order. No character's story is too short or too long. We know that Raleigh (Charlie Hunnam) is the main character but everyone got their screen time equally.And, uh, a bit applause for the budget. This awesome movie's budget is ""only"" US $180,000,000! I don't believe that, actually. The special effect is awesome. This is what I call ""Sci-Fi magic""! Awesome shot, and the scene when Gypsy Danger sliced the Kaiju's wings above the Earth's atmosphere was so stunning. I cannot erase that scene from my mind. My gosh that scene was really awesome, and more stunning than any scene in James Cameron's Avatar (2009). That. Scene.Many said that this movie is quite similar as Transformers. Nope. It's not same at all. Transformers are basically aliens and these Jaegers were artificially made by humans, and had pilots. The concept is like playing Wii or Kinect games, like a simulator. The pilots controlled the Jaegers by moving around and also lots of buttons that I don't understand.The drama thing in here is also good. The sad moment when Stacker (Idris Elba) said goodbye to Mako (Rinko Kikuchi), also Herc (Max Martini) and Chuck Hansen (Robert Kazinsky)'s last encounter. Those scenes almost bring me to tears. The only hilarious character in this movie is Hannibal Chau (Ron Perlman), and Dr. Newton (Charlie Day), maybe. Gottlieb (Burn Gorman) is another extra point to this movie. He's smart but, like typical smart people in movies; he is also stubborn but in the end he could accept another people's opinion.To conclude all of the things above, this movie is really worth watched. This is not just a gigantic robots movie. The storyline, the action, the special effects, the concept and the execution are balanced one to another. Pacific Rim is the black horse in summer movies so far.","
            5/10
            "
"jahanzeb-farooq","7 August 2013","Totally loved it. An awesome film with STUNNING visuals. Seeing those giant robots walking in the sea alone is worth ticket's price. Del Toro's passion and perfection speaks for itself. Not in a single place you find the CGI or visuals lacking. CGI is so damn perfect which isn't a small feat given that it's a film about giant robots fighting giant monsters. And man do these robots look beautiful and awesome? Like a piece of art. And they are done so perfectly, each and every movement, every little detail, has been given attention. These giant robots really put all what we have seen in Transformers to shame. The action scenes are jaw-dropping and are so brilliantly choreographed, without ever going over the top. It's a pity that this film couldn't do well on box office while every other crap coming out every day makes tons and tons of money. I sincerely hope Del Toro gets to make a sequel.","
            8/10
            "
"fawn_jane","2 August 2013","I loved watching this movie in 3D in the theater! This movie made me feel like a kid again, I was absorbed and entranced by the stunning, colorful action and visuals. It's the kind of movie that gives you something to daydream about. I loved watching and idea of these giant robot Mechs. Gives you that I-love-science-and-technology feeling.The entire movie has this quality I have never seen before, wherein the feel of it was bleak and gritty, but at the same time it was very colorful and futuristic and fantastic.These days in action movies often the action sequences are hard to follow because the director employs too many cuts and blurs, I assume to make it seem more exciting. But here I never had the thought, as I often do in other action movies, ""When is this action scene going to end... yawn... what is even going on?""I took off one star though because the movie isn't perfect. For instance, the main character is extremely forgettable, I could not even tell him apart from this other more minor character in the movie that looks similar. And then there was Elba's character and performance, there was something off about it. It's hard to put into words, the delivery of his lines was unconvincing at times: flat or the timing was off.I enjoyed the female lead. She's a gentle soft-spoken Japanese woman, and the movie does not apologize or overcompensate for it. Her character isn't the generic female lead who sneers at Mr. reckless rebellious protagonist at first and then gets won over and falls in love with him. Instead the male and female leads develop a hearty platonic friendship based on mutual understanding and shared experience.The movie had a rainbow of colorful characters, like the goofy scientists, the bleach-blonde rockstar-looking russians you see in the background, Ron Perlmen's character, they were all welcome comic relief to whole serious aliens-are-trying-to-wipeout-all-of-humanity situation.The movie is well done, but there is no denying it is completely formulaic. I instantly saw so many parallels between this movies and for example, Independence Day. The film is very much classic Hollywood, three-act, Joseph Campbell's-Hero's Journey stuff.And the whole premise of the movie doesn't make sense. If aliens were attacking earth, why would you build two-legged humanoid mechs to punch them and shoot at them at close range? Makes zero sense from an engineering standpoint. But all that is forgivable because after all... MECHS! But still worth pointing out... there are other things in the movie like that but I won't get into it.The special effects in the movie are amazing, and the director knew what he was doing with them. There were so many points in the movie where I was just in awe of how beautiful and well-put-together the action and special effects were. Moments where I appreciated watching something that felt absolutely PERFECT.If you are in the mood for a colorful action movie, run to the theaters now! I could see someone not liking it though if they need something deep or logical, this movie is a fun formulaic action movie that doesn't take itself too seriously.","
            3/10
            "
"Red_Identity","3 October 2013","I didn't have any expectations going into this and also didn't have much knowledge about it aside from Del Toro being the director. In a short description- it was excellent! A ton of fun, great characters, amazing visual effects, a story that doesn't fall under clichés. That's basically it in a nutshell, and the actual story stands-out from all of these seemingly formulaic and predictable blockbusters. I was hesitant about Charlie Hunman (although I remember him from Undeclared, much skinnier back then though) but he was a pretty great leading man and I have high hopes for his future. Del Toro nailed it with this, and hope he continues to give us more mainstream-fare.","
            4/10
            "
"0w0","6 May 2020","Why on earth would you go from being a top-tier pilot for the military, to being a construction worker? That just makes no sense... I know that they did it so that the character that Charlie Hunnam plays would seem like an 'everyman's man', but it simply doesn't make sense.Another thing that doesn't make sense: Why are all the Jaegers (robots) melee? That makes very little sense in reality... why engage with melee Kaiju (monsters) in melee? Why not just build Jaegers that have a crap tonne of missiles and lazer weapons, and blast the Kaiju into another dimension from far away? I know the movie would be drastically different if that were the case, but it would also be much cooler imo, because everyone knows big guns are better than big swords. I just think it's a huge plot hole.But other than the gaping plot-holes that this movie has, the movie is a 2hr trip filled with good CGI and a tonne of sci-fi and action fans will love it. For once though, I'd like to see the main actor+actress NOT end up kissing... it's a completely played-out trope that needs to be put on ice for a few years, honestly.","
            7/10
            "
"drpainters","24 July 2020","Pretty darn entertaining movie, lots of monster fights and decent enough conversations inbetween. Try to see it in 3D , looks great and was clearly designed to heavily show off 3d.","
            5/10
            "
"view_and_review","26 February 2018","With Pacific Rim Uprising about to be released I felt compelled to watch its predecessor if I'm going to watch the Uprising. Pacific Rim reminds me a lot of Robotech, a cartoon I used to watch a bit as a kid. At its core, Pacific Rim is an alien invasion movie not too unlike Independence Day. Earth is being serially attacked by these humongous creatures from another dimension coined Kaiju (which is Japanese for Monster). The world forces pooled their resources to create machinery to combat these Kaiju and they coined these mega machines Jaegers (German for giant). The Jaegers, operated by human pilots, dutifully protect the planet until the Kaiju become too much to handle. That's when they need real heroes.If it weren't for the action this movie would be a total waste because the story and the dialog is extremely unimaginative. The script and the acting even is sophomoric and has no real depth. Fortunately they had extra cool robots to take our attention away from the story. But even the action got to be overdone. It became destruction porn. Large cities being easily ripped apart by giant aliens and their pursuers--that gets old. How many movies with mega-beings or super-beings are going to lay waste to cities? I can only stand to see so many buildings destroyed before it all looks the same.The robots were nice, the creatures were nice but everything else was mediocre at best; the characters, the drama, the acting. This could've been a short film and been more effective.","
            1/10
            "
"jmoneyjohal","19 November 2013","Pacific Rim is Transformers on steroids, meets Godzillas father who is far more superior. The film has Action that has never before seen its MINBLOWING!!! The film is a visual mastery... The film is a slow and clichéd in parts, but this film is pure cinematic entertainment so you forget the few hiccups. The films story is about how how monster called kiagges come from the bottom of the ocean and are destroying the world. Humans than create jaggars, robot machines to combat the monsters. Overall it a must watch for all who love action and sci fi films!!! Also i recommend you watch the film in 3D because the film is way more appealing when you feel like you are in the battle ;)","
            7/10
            "
"thesar-2","19 October 2013","Godzilla (1954,) King Kong vs, Godzilla (1962,) Godzilla vs, Mechagodzilla (1974,) Aliens (1986,) Robocop (1987,) Robo(t )jox (1989,) Deepstar Six (1989,) Tremors (1990,) Independence Day (1996,) Starship Troopers (1997,) Godzilla (1998,) Reign of Fire (2002,) The Matrix Revolutions (2003,) Transformers (2007,) The Mist (2007,) Cloverfield (2008,) Transformers: Revenge of the Fallen (2009,) Monsters vs, Aliens (2009,) Avatar (2009,) Monsters (2010,) Real Steel (2011,) Super 8 (2011,) Transformers: Dark of the Moon (2011,) TV's Falling Skies (2011+) and Battleship (2012.)Did I miss any? I mean, I was previously informed Pacific Rim was original, and I was like: whaaat?Granted I don't believe this movie was made to be original. It was simply, and boy was it simple, made to dazzle with great visuals and giant robots vs. giant aliens. Literally, there is nothing else of substance to this movie. The acting was subpar, the dialogue atrocious and the comedic touches werewell, never funny. Hell, I even love Charlie Day from It's Always Sunny in Philadelphia, but he was so hard to watch here.Don't get me wrong, there were a few clever ideas here and the visuals and special effects were literally, huh, out of this world, but I don't see or appreciate movies that are based on one single attribute. And with such lush FX and CGI – which I normally don't like, but here was great thanks to one of the best and creative directors, Guillermo del Toro, the movie did carry me and was incredibly better than some of the movies it stole from, such as Battleship or any of the Transformers disasters.Here's where I usually give the synopsis, and believe me, I'll be as brief as they were, despite the over two hour runtime: Since aliens coming from outer space is sooo passé, these aliens decided to come up from the ocean and they're huge. Seeing that they're virtually indestructible with our current weapons, Earthlings decide to build Rock 'Em Sock 'Em robots of equal size. While forced, emotionless drama and little to mostly meaningless background takes some of the screen time, the bulk of the film is fights between the good guy/bad guy giants.If I were a kid, damn I probably would've loved this; I craved Godzilla, and the like, big monster movies. Back then, I didn't care so much about drama, originality or depth, but as I got older and have seen thousands of different movies than I had as a child (see above for an incredibly short, albeit relevant taste,) I grew tired of the same ole stuff. It's not like I lost in touch with my younger self, but children need a lot less to impress them than educated adults.And after this, plus the major disappointments with Battleship, Avatar and even 1998's Godzilla, I still have faith 2014's Godzilla won't let me down. I believe it will fulfill my childhood desires, but also have some depth, real characters and more than a hint of a story. Is that too much to ask when a director is given nearly $200 million dollars that he spends more than $200 dollars on the script?* * * Final thoughts: In my first paragraph, I picked some of the most relevant movies that I've seen that I believe this mimicked or flat-out stole from. For even more big monster movies I might have missed, check out the Wikipedia page for Movie Monsters.","
            9/10
            "
"FlashCallahan","14 June 2014","When we looked up, we should have looked down, would have been a better tag line for this movie.It's basically monsters versus robots, Del Toros's Power Rangers if you would, and that is the fundamental plot of the film, and unfortunately, it has very little to offer, other than wonderful effects.It plays very much like a video game, the monsters get bigger and more difficult to destroy, whilst in-between these fights, we are 'treated' to cut scenes of the people in the machine, having problems and trying to get on with each other.And this is the big problem with the film, lack of character development. Hunnam (?spelling), is the tortured soul who is lured back into action by Elba, who has never been more wooden than this.Add an angry Jock, his dad, a love interest with a paternal connection to Elba, two comedy scientists, Ron Perlman in his obligatory cameo, and a bulldog, you get a very dull movie.The creatures are awe-inspiring to begin with, but they soon become tiresome, just like the Transformers did.It's easily Del Toro's lowest point, and one of the biggest disappointments of 2013.When you see it, you will understand why it tanked, for a movie about giant robots fighting giant monsters from the sea, it's bloomin' boring.See Robot Jox instead, at least it's funny.","
            9/10
            "
"jeffrey-utley","24 July 2013","'Pacific Rim' looked to me like a mindless action movie in the trailer. I thought I was going to the theater to seeing two hours and eleven minutes of giant robots piloted by humans fighting giant aliens. Just about the first hour of this movie makes it more than a mindless action movie. This movie focused on the backgrounds of characters for a while and used character development to make us care about them more. That worked for some of the characters.The acting in this movie as about average. Some of the performances were better than others. Some aspects of actors' performances were better than others. Charlie Hunnam was more of a lower quality performance. In some parts of the movie, I wasn't convinced he was really Raleigh Becket (his character in the movie), because he wouldn't say some of the dialog with feeling. It was like he was just reading lines some of the time. He had a bit of a British accent in the movie, but it seemed like it was only in affect in a small number of scenes in the movie. I don't think that anyone has a British accent in only a few parts of their life, so that makes it a bad thing. That bring up another performance: Idris Elba's. He had a better British accent than Hunnam, but it still only seemed to be in affect some of the time. Also, his acting performance was good, but he wasn't able to put enough stress on words at times. When Stacker Pentecost (his character) was supposed to put deep feeling into his words, Idris Elba wouldn't be able to put enough feeling into the words. Other than those things, his performance was fine, though. Rinko Kikuchi, who played Mako Mori, had the best performance out of the all of the actors I can think of. She didn't have any accent problems, she was able to put enough stress on words, and I was convinced she was Mako Mori. Her performance was good.I couldn't find any problems with the writing in this movie. I didn't look for any problems in the writing, but it seemed realistic. In some parts, it seemed it little far fetched, though.The CGI in this movie was great. It really didn't seem like nothing was there. All of the images blended in with the aspects of the scene. When there was almost nothing but CGI, it seemed like they (the images) were real. The only time I would really tell if there was CGI (if I didn't already know) if it was compared to an actual image.Now, for the things I went to the movie to see: the action sequences. The action sequences were just CGI's fighting each other. I thought the sequences were great. They were very exciting and exhilarating. The sequences also didn't happen as much as I thought they would, but more would've been less, I think. It might have been like 'Man of Steel', where the action took a long time to get old. Here, the sequences never got old and they stayed exciting. The action was even better than I thought it was going to be in this movie. There's a clear reason for almost everything which causes less thinking during the scenes. Several points to the film for the acting sequences and events.About the first forty five minutes of this movie after the title came up were character background and development. It did introduce characters and tell their purpose in the story, too. It was interesting at first, but it got old after a while. There was some drama, but it was just slow. I don't know why this movie wanted to be slow in the beginning. Some action movies have been slow in the beginning, but it just didn't work in this one. For the mood of this movie, the logical thing wouldn't be to be slow in the beginning. Being like this almost only takes points away from the movie. Knowing so much about the characters did imply different tones of the movie later on when things would reflect on the character's past. The slowness of the beginning of the movie didn't only consist of character background buildup. Only about half of it consisted of that.'Pacific Rim' has great images and scenery, barely-below-average acting, average writing, amazing acting sequences, very deep characters, and is well done, but has some bad performances and some boring parts. It was very exciting, had explainable events and aspects, and had a good story. I very much recommend this movie and might buy this movie on DVD when it comes out. My 8/10 rating means 'Pacific Rim' is really good.","
            10/10
            "
"cherylkyrandia","15 March 2019","Mediocre film that did not deserve a sequel. No story. Annoying in your face CGI all the way through","
            7/10
            "
"ipselute","29 July 2013","Yeah, most idiotic movie EVER! They create those ultra high-tech gigantic robots, and all they do is box-matching the enemy (the green dinosaur- like creatures)? What is this: Mike Tyson versus the evil lizards? It's absolutely insulting! No gamma-rays, no ultrasonic weapons, no lasers, no satellites, no stealth planes, no Apache helicopters, no secret weapons, no flying saucers, no nothing!!! Who made this ""movie"", a three-year old with a mental condition? Imagine Star Trek in the Stone Age, that's what this movie really is. SF movie means is science-fiction. But there is no science in this one. Just lots of punching. I'm sure that boxing fans will greatly enjoy this installment.","
            1/10
            "
"Critomaton","11 August 2013","Pacific Rim is a fun movie that's worth seeing in the theater. Its only real flaw is that it leaves you with the feeling that with just a little more effort it could have been a lot more fun.The special effects are very good, but the film spends more time focusing on the robots than the monsters - I wish the director would have adjusted that balance slightly. The battles are exciting, but it's not a good sign when the penultimate fight is way more thrilling than the final battle. The final monster battle is so muddled that it's hard to tell which monsters, if any, are taking damage, dealing damage, being defeated, etc.The character underdevelopment in this movie is so conspicuous as to appear deliberate. In fact, it's a good thing Charlie Hunnam already has several seasons of Sons of Anarchy under his belt to prove his acting chops - I doubt if his performance in Pacific Rim will have his agent's phone ringing off the hook. Idris Elba does a fine job trying to channel drill instructors R. Lee Ermey, Lou Gossett, Jr., and Michael Ironside. But it's a bit of a letdown when we find out that the big, mysterious secret he's protecting is that he is a father figure to Jax Teller's cute Japanese co-pilot. Although I must admit that good dad/bad son is an interesting alternative to good cop/bad cop, that whole dynamic with the Australian Jaeger pilots was still played out in a very clichéd and unbelievable way. I would have preferred a little less focus on them and a little more dialog from the other Jaeger pilots. The most well developed characters are also the two most obnoxious: the eccentric scientists. Charlie Day is the Bobcat Goldthwaite for our time, but at least with Bobcat you knew his mannerisms were just schtick. With Charlie Day you're never sure, and that's twice as annoying. I guess the other guy is the Crispin Glover for our time - I have no idea what to think about that. In the end, a monster movie should be about monsters. There are a few well done snippets of monster fights in the daylight, but the majority of the confrontations take place at night, or during the rain, or underwater, or some combination of the three. For all the realism, it's still often hard to figure out exactly what is going on.Ironically, even with all the millions of dollars spent on incredibly convincing robot and monster effects, the connection between the Jaeger pilots and their machine looks like a cheap vacuum cleaner hose. That kept making me laugh and taking me out of the moment.Still, there are just enough plot twists thrown in to keep things interesting - from the black market in Kaiju parts to the risk/reward of ""drifting"" with the Kaiju. At over two hours, this is quite a long movie, but to its credit it doesn't really drag too much. Iron Man 1, 2, and 3 all dragged out their ""time between big action sequences"" as much, if not more, than Pacific Rim.I'm hoping I'll like this movie even more after a second viewing, just like I did with Hellboy II: The Golden Army. But as with H2:TGA, I can wait for it to come out on cable TV.I can't remember whether Pacific Rim set itself up for a sequel or not, but I had enough fun watching it that I'd pay to see one.","
            10/10
            "
"thinker1691","25 November 2013","Guillermo Del Toro directed this futuristic story by Travis Beacham and created a futurist setting where Mankind is faced with total annihilation. Attacking from within a Time-energy portal, a series of Gigantic and colossal monsters set about to destroy the world's populations and absorb it's natural resources. To stop them, the world's humans do what they have never ever done before, they unite. Crafting colossal Robots the humans enclose two mentally linked pilots (Charlie Hunnam and Diego Klattenhoff) to combat their adversaries in the deep oceanic trenches of the Pacific Ocean. Idris Elba plays the General in charge of Operations and Ron Perlman plays the scavenger parts dealer. The movie is one gigantic world wide conflict with titanic battles and super powerful beings and there is no shortage of super struggles. The Humans are hard pressed to fight the incredible monsters, while the creatures are Ratcheting up their plan of world conquest. If one were to select a slight criticism of the movie I would ask why 90% of the movie is filmed in the dark. It is difficult to study all the fantastic art work which went into the filming and the story itself is hobbled by inconclusive ends which remain unresolved. Still what there is of it has the audience mesmerized with gigantic battles which absorbed every bit of interest in the theater. This movie is one for the Classics and one would not be surprised if it generates a sequel. Easily recommended. ****","
            8/10
            "
"jaredkjacoby","10 May 2020","Kaiju emerge from underground and bring humanity on the brink of extinction. Jaegers are the machines created to combat these monsters. Jaegers are Kaiju-sized robots controlled by two pilots who share a strong bond. One Jaeger pilot loses his brother in a fight with a Jaeger and when he is down on his luck, his former commanding officer recruits him again to battle against the Kaiju in Hong Kong to prevent the apocalypse, or in this case, cancel the apocalypse.I have a bit of an interesting history with Pacific Rim. I saw it when I first came out and I thought it was the coolest movie ever and I defended it against anyone who called a dumb popcorn flick. It is the film that got me into watching more movies. To kick off the summer, I wanted to watch this movie to see how well it holds up... there will be some spoilers ahead.Pacific Rim is an outstanding blockbuster film that delivers everything you could ask for. The characters are wonderful and extremely likable. Raleigh Becket is a charismatic and likable lead who starts out as this energetic and cocky guy who changes into a stoic soldier after he sees his own brother get eaten by a Kaiju. It makes since why he is not the most cheerful person in the world. There are many protagonists in action films that either get on my nerves, that are the chosen one or have the same story, but Raleigh is just a normal person who suffered a tragedy in a battle with a Kaiju and was recruited by Stacker after finding himself down on his luck. He has nothing to lose after finding himself on construction. Speaking of Stacker, this character is one of the most badass in a blockbuster film. He knows how to take charge and he shows passion on not just the Jaegers, but to save the world and protect those he loves. Also, he has the coolest dialogue in the film. Finally, he his character has a great sacrifice. When I saw the movie the first few times, I was a little upset that he died, but now, I see that he got sick, and he wanted to die in a Jaeger. Mako is my favorite character in this film though. She is just an awesome character who is passionate about becoming a Jaeger pilot. At first, she seems to be beating Raleigh in training so it is confusing on why Stacker would not let her be one... until they test it out. This movie does a terrific job showing her weaknesses that she needs to overcome and why Stacker did not let her become a pilot for so long. It shows that while Mako is a badass character who can stand on her own, she is not perfect. The supporting cast is excellent as well. The scientists are comic reliefs, but they are useful for the plot and they are funnier than not. Even the character who is kind of antagonistic towards Raleigh and Mako ends up being respectable by the end of the film. Ron Perlman's character is honestly the weak point when it comes to the characters, but he is still really fun in his role. The characters are just great and even if they are not the deepest, they still get strong development and they all contribute to the plot to stop the Kaiju. The performances are terrific from everyone in this cast with the standouts being Charlie Hunnam, Idris Elba, Charlie Day and Rinko Kikuchi.But what about the story? It is engaging from start to finish. It is about creatures underground coming to attack the world and how humanity decided to fight back with Jaegers. It even has some themes within the story. Deep down, this is a film about how humanity being down and out having to fight back with every last bit of strength they got. It is a movie that is about teamwork because almost every character in this movie contributes to the goal of stopping the Kaiju from making humanity extinct. In that, the film is very uplifting and even inspiring. Not inspiring in that it makes you want to write movies, but in that it will help you value teamwork more than ever before. The world building is fantastic with showing how Kaiju first attacked and how Jaegers work. They also show why the bond between the two pilots as well as their emotional state is important. The tone is perfect in this film. It has a couple moments of cheesiness, but it takes itself seriously for the most part and it works. The stakes are high and it feels like an actual apocalypse, not just any sort of fun action-packed adventure. Also, there are character moments that are done beautifully without needing exposition dumps. When Mako first enters the Jaeger and her memories cloud her mind, it shows her backstory beautifully with beautiful visual storytelling. There is no dialogue, everything you need to know about Mako's fears and even her relationship with Stacker are shown beautifully in those very emotional scenes with her as a child. It scenes like these that help make the characters so much more likable and by the time the battles role around, you root for them to win. I disagree with people who say that this movie lacks substance with its story, because I think it is definitely there. The story is engaging, even when the humans are the focus.But of course, I cannot talk about Pacific Rim without talking about the action scenes and visuals. They still look incredible! They have not aged a day and there are films that have much bigger budgets than this does that do not look nearly as good. The Jaegers look realistic and they are huge and scale. Not only that, but they feel big with their movement. They have weight. It feels about as realistic as it can get with a movie about giant robots fighting giant monsters. The Kaiju designs terrific as well as they mostly have unique designs and they are absolutely terrifying. I love that there are different categories to classify them. The CGI is perfect for both the Jaegers and the Kaiju. Honestly, I thought the Jaegers looked real when I first saw them. The set designs are grand and the scale is huge. The cinematography is breathtaking regardless of whether the focus is on the battle scenes or the training scenes. You can tell how much love Director Guillermo del Toro put into this film with his direction. He had so much passion for this film and it shows every second of the runtime. The action scenes are where this film truly shines. There is not a set piece in this film that is boring or badly shot in this film. The set pieces are pure fun and they let you see the impact that every punch makes and the destruction that comes as a result looks insane. They are beautifully shot and it is easy to tell what is happening. One of the best things about the action though is how rough the Jaegers have it. They get destroyed by the Kaiju often they do not have it easy at all. It makes it very satisfying to see how they win. The Hong Kong set piece is quite possibly my favorite action scene of all time. The scale of the giants, the neon colors with the rain, the Kaiju popping up out of nowhere from a building for a surprise attack, the Kaiju flying Gipsy Danger high in the sky, the destruction of the city and the constant back and forth between the Jaeger and the Kaiju. It is freaking brilliant and it is never dull for even a second. The climax is also under appreciated. It is visually stunning and colorful, the stakes are raised, the odds keep getting stacked for the heroes and it is an emotional ride. It is just a feast for the eyes. On a technical and production level, Pacific Rim has some of the best visuals and action scenes of any blockbuster film period. Also, the musical score by Ramin Djawadi is one of the best scores I have heard in an action movie. The main theme in this film is just amazing!Although this film is amazing, I do have a couple of minor issues. There are a couple of lines of dialogue that are kind of cringeworthy, particularly some of the humor. Like I said, Ron Perlman's character is the only character that I am not crazy about. However, his end credit scene is hilarious. Finally, I wish we got to see a little bit more from the other Jaegers. Other than that, I have no big problems with this movie.Every time I watch Pacific Rim, I adore it more and more. I know this review may indicate bias, but I genuinely think that this one of the best blockbuster films of the last decade. It is pure blissful fun from start to finish. I think it is a bit underrated even. I cannot recommend it enough and when you watch, make sure you watch on your biggest TV! This was one of my favorite films when I first saw it and it stays as one of my favorite films.The sequel on the other hand...","
            10/10
            "
"moejoedajoejoe","9 December 2021","This is my favorite ""Giant monster"" movie. It has a good cast including an exceptional performance from Idris Elba. This is action cheese at its absolute finest. The movie is also chock full of nerd in-jokes. The best way to watch this is to just relax and let yourself have fun. Break out the popcorn, have a few drinks, and completely disregard the sequel.","
            7/10
            "
"tinovalkki","4 August 2013","Pacific Rim takes summer block buster movie to it's new level. After a short and vigorous beginning the movie grows bigger than ever seen digital effect rumble. With the length of over two hours the movie is simply eye candy. Guillermo Del Toro holds the story just enough interesting that you can handle all that effect rumble. When all the Transformer movies are just empty digital effect after digital effect Guillermo Del Toro's apocalyptic world is just enough interesting to keep it watchable. Too bad that the story here is so cheesy and it has told so many times in so many different ways. But anyway this turbo loaded effect rumble is quite beautiful to watch. Many times you can see almost see a raindrop to fall from the neck metallic monster. 3D looks great even it hasn't use in every way it could have used. Movie is typical popcorn movie but the trouble here is that it can be too much to most of the viewers. You have to be geek enough to like it. For me there is no trouble to like it and it really is worth of movie ticket price. This movie is a digi-geeks wet daydream, but if you want a good story instead of effect rumble you better to avoid this movie.***1/2","
            9/10
            "
"basilisksamuk","25 May 2014","It took two sessions for me to watch this drivel. I fell asleep about half way through and had to see part two the following day.As far as I can make out this is about giant sea monsters vs transformers. Charlie Day and Burn Gorman play the gravediggers from Hamlet, badly. The two stars of Sons of Anarchy prove that they can't act their way out of a paper bag.Meanwhile Idris Elba puts in an embarrassingly bad performance ( Imagine the key speech from Gladiator written and delivered by Worzel Gummidge.) Action has been replaced by acres of CGI that might satisfy an eight year old but will fail to impress sentient beings evolved beyond the level of igneous rocks.The only redeeming feature of this film is that it is, at least, better than the pretentious and unoriginal nonsense that was Pan's Labyrinth.","
            10/10
            "
"travisvincent","4 October 2013","Pacific Rim is one of those movies that doesn't come along often. A big, loud, monster movie. PR borrows heavily from the Godzilla movies. Monsters and giant robots duke it out. The plot is simple enough to work: An underwater 'tunnel' has created a link from the bottom of the ocean to another dimension, that dimension is full of monsters who want to conquer earth because why not? the monsters have apparently done this before throughout the Galaxy so to them it's like riding a bike. The world however, decides to fight back, so they build these giant iron man robots (i mean seriously, they look just like Iron Man)anyway, so these giant robots now have to kill these monsters and destroy the tunnel. In between these events you have some impressive battle scenes. Some battle/fights scene take place off the coast of China, Three-mile island, another one takes place in downtown Tokyo (which is so amazing, i rewound that part of the film to watch again) in the middle of the film is a 20-30 min fight sequence that is just action cgi porn. It was amazing. The special effects are spot on and very realistic. Pacific Rim is now one of my all time favorite movies right up there with Jurassic Park, Cloverfield and War of The Worlds.","
            8/10
            "
"GrassCrown","2 August 2013","Guillermo del Toro's Pacific Rim was one of my most anticipated movies this summer. And boy did the movie deliver. I was grinning like an idiot for most of the movie. The movie is just so much damn fun and it had some of the most terrific fight sequences that I've ever seen. It also had great pacing, I wasn't bored at any point in the movie. The set up in the beginning is pretty much perfect as del Toro presents the Kaijus and how the world reacted to them. After that it's just almost non-stop action. Guillermo del Toro has really crafted a believable and expansive world that is full of detail. The visual look of the film was beautiful and full of color. You can just feel the joy and passion that del Toro had for the film through the screen. The art direction and the CGI effects in this movie are really impeccable. Guillermo Navarro also did a great job with the cinematography. The camera was always right where it should've been.The practical sets inside the robots were absolutely fantastic. If they'd done those in CGI, the movie would've definitely lost something substantial. I loved how it looked and how you got a great perspective into what it would be like to be inside of that robot. The practical sets that were used throughout the movie with the CGI really grounded the experience. The CGI Jaegers and Kaijus were done terrifically and they had a tremendous sense of weight to them. There was also enough differences between the Kaijus to keep the action interesting and the battles different. Every Jaeger also had a distinct theme to it and they were really well conceived. The sound design in this movie was also great and it really added to the intensity of the film. The great epic score by Ramin Djawadi really pumped me up during the fights. Despite the movie being a big spectacle it actually had good enough characters that I actually cared and rooted for them. I didn't like the scientists though, they were a bit too eccentric and over the top for my taste. Ron Perlman was funny though because he's just awesome as a person. I thought Charlie Hunnam made for a likable hero and Rinko Kikuchi does a great job as Mako. Idris Elba really nails his role as the tough commander with a heart. The drifting sequences were visually interesting and they were used well in conveying the backgrounds of the characters. The plot is what it is but it fits a spectacle movie like this pretty much perfectly. Approach this film with the right expectations and you'll have an enjoyable time. You have to see this in the cinema while it's still there, it really adds to the experience. It's an extremely enjoyable and fun pop corn flick, my favorite of the summer blockbusters so far.","
            8/10
            "
"filmaholic33","11 July 2013","I have been following this movie for a while now. Largely because of the two main actors Charlie Hunnam and Idris Elba and I have to say I was not disappointed at all. Watched it in 3D (I have always strayed away from 3D before because I just didn't think it was worth spending the extra cash) but this time I do not regret my choice at all. It was a visual feast.Action was on point. The story flowed well (this is a blockbuster after all, we aren't going to compare it to an art house film). For me the actors embraced their roles very well and the visuals were magnificent (thank god once again for the 3D). Everything just felt right!Being familiar with Guillermo's past work I would say this is his best yet. His imagination is wicked. So if you are looking for great entertainment and a little something to wow you, this is the movie for you. Bravo. Two thumbs up.","
            9/10
            "
