"","Brand_Description","Price","Review_Count","Rating"
"11"," SAMSUNGGalaxy Buds 2 Pro True Wireless Bluetooth Earbuds, Noise Cancelling, Hi-Fi Sound, 360 Audio, Comfort Fit In Ear, HD Voice, Conversation Mode, IPX7 Water Resistant, US Version, Graphite  4.5 out of 5 stars 6,254  5K+ bought in past month$188.88$188.88 List: $229.99$229.99FREE delivery Jan 24 - 26 Or fastest delivery Wed, Jan 24 Only 15 left in stock - order soon.More Buying Choices$102.15(40 used & new offers)Price may vary by color","188.","6,254","4.5 out of 5 stars"
"12"," +2 colors/patternsWireless Earbuds Bluetooth Headphones, 40H Playtime Stereo IPX5 Waterproof Ear Buds, LED Power Display Cordless in-Ear Earphones with Microphone for iOS Andriod Cell Phone Sports  4.9 out of 5 stars 1,982  10K+ bought in past month$21.99$21.99 List: $79.99$79.9910% coupon applied at checkoutSave 10%  with coupon  FREE delivery Sat, Jan 27 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 ","21.","1,982","4.9 out of 5 stars"
"13"," T6 True Wireless Earbuds Bluetooth 5.3 Headphones Touch Control with Wireless Charging Case IPX8 Waterproof Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass Black  4.4 out of 5 stars 260,022  10K+ bought in past month$26.99$26.99 List: $42.99$42.99$6.00 coupon applied at checkoutSave $6.00  with coupon  FREE delivery Sat, Jan 27 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certifications (2) Global Recycled Standard Recycled Claim Standard BlendedMore Buying Choices$17.54(21 used & new offers)Price may vary by color+  ","26.","260,022","4.4 out of 5 stars"
"14"," BERIBESBluetooth Headphones Over Ear, 65H Playtime and 6 EQ Music Modes Wireless Headphones with Microphone, HiFi Stereo Foldable Lightweight Headset, Deep Bass for Home Office Cellphone PC Ect.  4.5 out of 5 stars 19,670  10K+ bought in past month$26.99$26.99 List: $35.94$35.94Join Prime to buy this item at $19.99 FREE delivery Sat, Jan 27 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 Price may vary by color","26.","19,670","4.5 out of 5 stars"
"15"," Vibe Buds True Wireless Headphones - Black, Small  4.2 out of 5 stars 1,995  10K+ bought in past month$49.95$49.95 FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 More Buying Choices$27.81(20 used & new offers)Also available in White","49.","1,995","4.2 out of 5 stars"
"16"," +1A1 Mini Wireless Earbuds Bluetooth 5.3 in Ear Light-Weight Headphones Built-in Microphone, IPX5 Waterproof, Immersive Premium Sound Long Distance Connection Headset with Charging Case, Black  4.3 out of 5 stars 73,358  10K+ bought in past month$19.90$19.90 List: $29.99$29.99$4.00 coupon applied at checkoutSave $4.00  with coupon  FREE delivery Sat, Jan 27 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certifications (2) Global Recycled Standard Recycled Claim Standard BlendedMore Buying Choices$19.70(4 used & new offers)Price may vary by color+  ","19.","73,358","4.3 out of 5 stars"
"17"," T10 Bluetooth 5.3 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black  4.3 out of 5 stars 359,760  10K+ bought in past monthLimited time deal   $18.99$18.99 List: $39.99$39.99 FREE delivery Sat, Jan 27 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certifications (2) Global Recycled Standard Recycled Claim Standard BlendedMore Buying Choices$14.99(31 used & new offers)Price may vary by color","18.","359,760","4.3 out of 5 stars"
"18"," SonyZX Series Wired On-Ear Headphones, Black MDR-ZX110, 7.87 x 1.81 x 5.87 inches  4.5 out of 5 stars 111,590  10K+ bought in past monthClick to see price FREE delivery Sat, Jan 27 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 Price may vary by color","","111,590","4.5 out of 5 stars"
"19"," SHOKZOpenRun (AfterShokz Aeropex) - Open-Ear Bluetooth Bone Conduction Sport Headphones - Sweat Resistant Wireless Earphones for Workouts and Running - Built-in Mic, with Headband  4.6 out of 5 stars 23,297  5K+ bought in past month$129.95$129.95 FREE delivery Mon, Jan 29 ","129.","23,297","4.6 out of 5 stars"
"20"," NEW Bose QuietComfort Ultra Wireless Noise Cancelling Headphones with Spatial Audio, Over-the-Ear Headphones with Mic, Up to 24 Hours of Battery Life, Black  4.2 out of 5 stars 741  3K+ bought in past month$429.00$429.00FREE delivery Thu, Jan 25 More Buying Choices$419.00(7 used & new offers)Also available in White Smoke","429.","741","4.2 out of 5 stars"
"21"," SonyWF-1000XM5 The Best Truly Wireless Bluetooth Noise Canceling Earbuds Headphones with Alexa Built in, Black- New Model  4.0 out of 5 stars 1,521  3K+ bought in past month$298.00$298.00FREE delivery Jan 24 - 25 Alexa Built-in  Alexa Built-inAlexa Built-in devices let you talk directly to Alexa, allowing you to play music, control your smart home, get news, weather, and more using your voice. Learn more More Buying Choices$154.72(66 used & new offers)Also available in Silver","298.","1,521","4.0 out of 5 stars"
"22"," SHOKZOpenRun Pro - Open-Ear Bluetooth Bone Conduction Sport Headphones - Sweat Resistant Wireless Earphones for Workouts and Running with Premium Deep Base - Built-in Mic, with Hair Band  4.6 out of 5 stars 15,923  3K+ bought in past month$170.00$170.00 List: $179.95$179.95FREE delivery Jan 26 - 30 Or fastest delivery Jan 24 - 25 More Buying Choices$168.30(3 used & new offers)Price may vary by color","170.","15,923","4.6 out of 5 stars"
"23"," SHOKZOpenMove - Open-Ear Bluetooth Sport Headphones - Bone Conduction Wireless Earphones - Sweatproof for Running and Workouts, with Sticker Pack (Grey)  4.4 out of 5 stars 13,310  5K+ bought in past month$79.95$79.95 FREE delivery Sat, Jan 27 Or fastest delivery Fri, Jan 26 ","79.","13,310","4.4 out of 5 stars"
"24"," Soundcoreby Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization via App  4.5 out of 5 stars 8,687  10K+ bought in past monthLimited time deal   $19.99$19.99 List: $39.99$39.99 FREE delivery Sat, Jan 27 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 More Buying Choices$19.79(4 used & new offers)","19.","8,687","4.5 out of 5 stars"
