"","title","author","subject","abstract","meta"
"11","Chemical Diagnostics to Unveil Environments Enriched by First Stars","Irene Vanni, Stefania Salvadori, Valentina D'Odorico, George D. Becker, Guido Cupani","Astrophysics of Galaxies (astro-ph.GA)","Unveiling the chemical fingerprints of the first (Pop III) stars is crucial for indirectly studying their properties and probing their massive nature. In particular, very massive Pop III stars explode as energetic Pair-Instability Supernovae (PISNe), so their chemical products might escape in the diffuse medium around galaxies, opening the possibility to observe their fingerprints in distant gas clouds. Recently, three z > 6.3 absorbers with abundances consistent with an enrichment from PISNe have been observed with JWST. In this Letter, we present novel chemical diagnostics to uncover environments mainly imprinted by PISNe. Furthermore, we revise the JWST low-resolution measurements by analysing the publicly available high-resolution X-Shooter spectra for two of these systems. Our results reconcile the chemical abundances of these absorbers with those from literature, which are found to be consistent with an enrichment dominated (> 50% metals) by normal Pop II SNe. We show the power of our novel diagnostics in isolating environments uniquely enriched by PISNe from those mainly polluted by other Pop III and Pop II SNe. When the subsequent enrichment from Pop II SNe is included, however, we find that the abundances of PISN-dominated environments partially overlap with those predominantly enriched by other Pop III and Pop II SNe. We dub these areas confusion regions. Yet, the odd-even abundance ratios [Mg,Si/Al] are extremely effective in pinpointing PISNedominated environments and allowed us to uncover, for the first time, an absorber consistent with a PISN enrichment for all the six measured elements.","Wed, 28 Feb 2024 19:00:04 UTC (2,314 KB)"
"12","Note: Evolutionary Game Theory Focus Informational Health: The Cocktail Party Effect Through Werewolfgame under Incomplete Information and ESS Search Method Using Expected Gains of Repeated Dilemmas","Yasuko Kawahata","Physics and Society (physics.soc-ph)","We explore the state of information disruption caused by the cocktail party effect within the framework of non-perfect information games and evolutive games with multiple werewolves. In particular, we mathematically model and analyze the effects on the gain of each strategy choice and the formation process of evolutionary stable strategies (ESS) under the assumption that the pollution risk of fake news is randomly assigned in the context of repeated dilemmas. We will develop the computational process in detail, starting with the construction of the gain matrix, modeling the evolutionary dynamics using the replicator equation, and identifying the ESS. In addition, numerical simulations will be performed to observe system behavior under different initial conditions and parameter settings to better understand the impact of the spread of fake news on strategy evolution. This research will provide theoretical insights into the complex issues of contemporary society regarding the authenticity of information and expand the range of applications of evolutionary game theory.","Tue, 27 Feb 2024 14:10:34 UTC (3,851 KB)"
"13","Token-based Vehicular Security System (TVSS): Scalable, Secure, Low-latency Public Key Infrastructure for Connected Vehicles","Abdulrahman Bin Rabiah, Anas Alsoliman, Yugarshi Shashwat, Silas Richelson, Nael Abu-Ghazaleh","Cryptography and Security (cs.CR)","Connected and Autonomous vehicles stand to drastically improve the safety and efficiency of the transportation system in the near future while also reducing pollution. These systems leverage communication to coordinate among vehicles and infrastructure in service of a number of safety and efficiency driver assist and even fully autonomous applications. Attackers can compromise these systems in a number of ways including by falsifying communication messages, making it critical to support security mechanisms that can operate and scale in dynamic scenarios. Towards this end, we present TVSS, a new VPKI system which improves drastically over prior work in the area (including over SCMS; the US department of transportation standard for VPKI). TVSS leverages the idea of unforgeable tokens to enable rapid verification at the road side units (RSUs), which are part of the road infrastructure at the edge of the network. This edge based solution enables agile authentication by avoiding the need for back-end servers during the potentially short contact time between a moving vehicle and the infrastructure. It also results in several security advantages: (1) Scalable Revocation: it greatly simplifies the revocation problem, a difficult problem in large scale certificate systems; and (2) Faster Refresh: Vehicles interact more frequently with the system to refresh their credentials, improving the privacy of the system. We provide a construction of the system and formally prove its security. Field experiments on a test-bed we develop consisting of on-board units (OBUs) and RSUs shows substantial reduction in the latency of refreshing credentials compared to SCMS, allowing the system to work even with smaller window of connectivity when vehicles are moving at higher speeds. Notably, we are able to execute the bottleneck operation of our scheme with a stationary RSU while traveling at highway speeds .","Wed, 28 Feb 2024 14:35:52 UTC (8,916 KB)"
"14","Oil Spill Drone: A Dataset of Drone-Captured, Segmented RGB Images for Oil Spill Detection in Port Environments","T. De Kerf, S. Sels, S. Samsonova, S. Vanlanduit","Computer Vision and Pattern Recognition (cs.CV)","The high incidence of oil spills in port areas poses a serious threat to the environment, prompting the need for efficient detection mechanisms. Utilizing automated drones for this purpose can significantly improve the speed and accuracy of oil spill detection. Such advancements not only expedite cleanup operations, reducing environmental harm but also enhance polluter accountability, potentially deterring future incidents. Currently, there's a scarcity of datasets employing RGB images for oil spill detection in maritime settings. This paper presents a unique, annotated dataset aimed at addressing this gap, leveraging a neural network for analysis on both desktop and edge computing platforms. The dataset, captured via drone, comprises 1268 images categorized into oil, water, and other, with a convolutional neural network trained using an Unet model architecture achieving an F1 score of 0.71 for oil detection. This underscores the dataset's practicality for real-world applications, offering crucial resources for environmental conservation in port environments.","Wed, 28 Feb 2024 09:47:35 UTC (339 KB)"
"15","Cosmic Type Ia SN rate and constraints on SN Ia progenitors","P.A. Palicio, F. Matteucci, M. Della Valle, E. Spitoni","Cosmology and Nongalactic Astrophysics (astro-ph.CO)","Type Ia supernovae play a key role in the evolution of galaxies by polluting the interstellar medium with a fraction of iron peak elements larger than that released in the core collapse supernova events. Their light-curve, moreover, is widely used in cosmological studies as it constitutes a reliable distance indicator at extra-galactic scales. Among the mechanisms proposed to explain the Type Ia SNe, the single and double degenerate channels are thought to be the dominant ones, which imply a different distribution of time delays between the progenitor formation and the explosion. In this paper, we aim at determining the dominant mechanism by comparing a compilation of observed type Ia SN with our predictions, and evaluating the relative contribution of both channels. By using a least-squares fitting procedure, we model the observations of type Ia SN rates assuming different combinations of three recent cosmic star formation rates and seven delay time distributions. The goodness of these fits are statistically quantified by the chi-squared test. Though dependent on the assumed cosmic star formation rate, we find arguments in favor of the single degenerate model. From the theoretic point of view, at least the sim 30% of the Type Ia SN must have been produced through the single degenerate channel to account for the observations. The wide double degenerate scenario mechanism slightly under-predicts the observations at redshift z>1, unless the cosmic SFR flattens in that regime. On the contrary, although the purely close double degenerate scenario can be ruled out, we cannot rule out a mixed scenario with single and double degenerate progenitors.","Mon, 26 Feb 2024 15:05:06 UTC (2,550 KB)"
"16","Discovery of magnetically guided metal accretion onto a polluted white dwarf","S. Bagnulo, J. Farihi, J.D. Landstreet, C. Folsom","Solar and Stellar Astrophysics (astro-ph.SR)","Dynamically active planetary systems orbit a significant fraction of white dwarf stars. These stars often exhibit surface metals accreted from debris disks, which are detected through infrared excess or transiting structures. However, the full journey of a planetesimal from star-grazing orbit to final dissolution in the host star is poorly understood. Here, we report the discovery that the cool metal polluted star WD0816-310 has cannibalized heavy elements from a planetary body similar in size to Vesta, and where accretion and horizontal mixing processes have clearly been controlled by the stellar magnetic field. Our observations unveil periodic and synchronized variations in metal line strength and magnetic field intensity, implying a correlation between the local surface density of metals and the magnetic field structure. Specifically, the data point to a likely persistent concentration of metals near a magnetic pole. These findings demonstrate that magnetic fields may play a fundamental role in the final stages of exoplanetary bodies that are recycled into their white dwarf hosts.","Mon, 26 Feb 2024 12:17:57 UTC (416 KB)"
"17","A Stationary Equilibrium Model of Green Technology Adoption with Endogenous Carbon Price","Felix Dammann, Giorgio Ferrari","Mathematical Finance (q-fin.MF)","This paper proposes and analyzes a stationary equilibrium model for a competitive industry which endogenously determines the carbon price necessary to achieve a given emission target. In the model, firms are identified by their level of technology and make production, entry, and abatement decisions. Polluting firms are subject to a carbon price and abatement is formulated as an irreversible investment, which entails a sunk cost and results in the firms switching to a carbon neutral technology. In equilibrium, we identify a carbon price and a stationary distribution of incumbent, polluting firms, that guarantee the compliance with a certain emission target. Our general theoretical framework is complemented with a case study with Brownian technology shocks, in which we discuss some implications of our model. We observe that a carbon pricing system alongside installation subsidies and tax benefits for green firms trigger earlier investment, while higher income taxes for polluting firms may be distorting. Moreover, we discuss the role of a welfare maximizing regulator, who, by optimally setting the emission target, may mitigate or revert some parameters' effects observed in the model with fixed limit.","Mon, 26 Feb 2024 08:53:29 UTC (279 KB)"
"18","Effect of temperature and copper doping on the heterogeneous Fenton-like activity of Cu$_x$Fe$_{3-x}$O$_4$ nanoparticles","Nahuel Nuñez, Enio Lima Jr., Marcelo Vásquez Mansilla, Gerardo F. Goya, Álvaro Gallo-Cordova, María del Puerto Morales, Elin L. Winkler","Materials Science (cond-mat.mtrl-sci)","Ferrite nanoparticles serve as potent heterogeneous Fenton-like catalysts, producing reactive oxygen species (ROS) for decomposing organic pollutants. We investigated the impact of temperature and copper content on the catalytic activity of nanoparticles with different oxidation states of iron. Via solvothermal synthesis, we fabricated copper-doped magnetite (Cu$_x$Fe$_{3-x}$O$_4$) with a Fe$^{2+}$/Fe ratio ~0.33 for the undoped system. Using a microwave-assisted method, we produced copper-doped oxidized ferrites, yielding a Fe$^{2+}$/Fe ratio of ~0.11 for the undoped nanoparticles. The ROS generated by the catalyst were identified and quantified by electron paramagnetic resonance, while optical spectroscopy allowed us to evaluate its effectiveness for the degradation of a model organic dye. At room temperature, the magnetite nanoparticles exhibited the most $\cdot$OH radical production and achieved almost 90% dye discoloration in 2 hours. This efficiency decreased with increasing Cu concentration, concurrently with a decrease in $\cdot$OH generation. Conversely, above room temperature, Cu-doped nanoparticles significantly enhance the dye degradation, reaching 100% discoloration at 90$^\circ$C. This enhancement is accompanied by a systematic increase in the kinetic constants, obtained from reaction equations, with Cu doping. This study highlights the superior stability and high-temperature catalytic advantages of copper ferrite holding promise for enhancing the performance of nanocatalysts for decomposing organic contaminants.","Fri, 23 Feb 2024 14:19:10 UTC (2,447 KB)"
"19","High-resolution spectroscopic analysis of four unevolved barium stars","M. P. Roriz, N. Holanda, L. V. da Conceição, S. Junqueira, N. A. Drake, A. Sonally, C. B. Pereira","Solar and Stellar Astrophysics (astro-ph.SR)","A classical Local Thermodynamic Equilibrium analysis, based on high-resolution spectroscopic data, is performed for a sample of three potential barium dwarf candidates and one star already recognized as such. We derived their atmospheric parameters, estimated their masses and luminosities, and determined chemical abundances for a set of 21 elements, including CNO. Some elemental abundances are derived for the first time in HD~15096, HD~37792, and HD~141804. The program stars are dwarfs/subgiants with metallicities typical of disc stars, exhibiting moderate carbon enhancements, with $\rm{[C/Fe]}$ ratios ranging from $+0.29$ to $+0.66$ dex, and high levels of \textit{slow} neutron-capture ($s$-process) elements, with $\rm{[\textit{s}/Fe]}\gtrsim +1.0$~dex. As spectroscopic binaries, their peculiarities are attributable to mass transfer events. The observed neutron-capture patterns of were individually compared with two sets of $s$-process nucleosynthesis models (Monash and {\sc fruity}), yielding dilution factors and masses estimates for the former polluting Asymptotic Giant Branch stars. Low-mass ($\lesssim 3.0~\rm{M}_{\odot}$) models successfully reproduce the observations. In addition, we estimated mean neutron exposures of the order of 0.6 -- 0.7 mb$^{-1}$ for the $s$-processed material observed in their envelopes. Applying an empirical initial-final mass relation, we constraint in $\sim 0.7\,\textrm{M}_{\odot}$ the mass of their dim white-dwarf companions. Moreover, our kinematic study revealed that the program stars are members of the thin disk, with probabilities greater than 70\%. Hence, we identified HD~15096 and HD~37792 as new barium dwarfs and confirmed that HD~141804 is a barium dwarf. Thus, the number of barium dwarfs identified in the literature from high-resolution spectroscopy increases to 71 objects.","Thu, 22 Feb 2024 17:10:07 UTC (397 KB)[v2] Fri, 23 Feb 2024 19:15:20 UTC (388 KB)"
"20","Big data analytics to classify earthwork-related locations: A Chengdu study","Lei Yu, Ke Han","Machine Learning (cs.LG)","Air pollution has significantly intensified, leading to severe health consequences worldwide. Earthwork-related locations (ERLs) constitute significant sources of urban dust pollution. The effective management of ERLs has long posed challenges for governmental and environmental agencies, primarily due to their classification under different regulatory authorities, information barriers, delays in data updating, and a lack of dust suppression measures for various sources of dust pollution. To address these challenges, we classified urban dust pollution sources using dump truck trajectory, urban point of interest (POI), and land cover data. We compared several prediction models and investigated the relationship between features and dust pollution sources using real data. The results demonstrate that high-accuracy classification can be achieved with a limited number of features. This method was successfully implemented in the system called Alpha MAPS in Chengdu to provide decision support for urban pollution control.","Thu, 22 Feb 2024 16:50:32 UTC (4,520 KB)"
"21","Offshoring Emissions through Used Vehicle Exports","S.J. Newman, K. Schulte, M.M. Morellini, C. Rahal, D. Leasure","General Economics (econ.GN)","Policies to reduce transport emissions often overlook the international flow of used vehicles. We quantify the rate at which used vehicles generated CO2 and pollution for all used vehicles exported from Great Britain; a globally leading used vehicle exporter across 2005-2021. Destined for low-middle-income countries, exported vehicles fail roadworthiness standards and, even under extremely optimistic functioning as new assumptions, generate at least 13-53 percent more emissions than scrapped or on-road vehicles.","Wed, 21 Feb 2024 13:44:59 UTC (1,033 KB)"
"22","Scalable Methods for Brick Kiln Detection and Compliance Monitoring from Satellite Imagery: A Deployment Case Study in India","Rishabh Mondal, Zeel B Patel, Vannsh Jani, Nipun Batra","Computer Vision and Pattern Recognition (cs.CV)","Air pollution kills 7 million people annually. Brick manufacturing industry is the second largest consumer of coal contributing to 8%-14% of air pollution in Indo-Gangetic plain (highly populated tract of land in the Indian subcontinent). As brick kilns are an unorganized sector and present in large numbers, detecting policy violations such as distance from habitat is non-trivial. Air quality and other domain experts rely on manual human annotation to maintain brick kiln inventory. Previous work used computer vision based machine learning methods to detect brick kilns from satellite imagery but they are limited to certain geographies and labeling the data is laborious. In this paper, we propose a framework to deploy a scalable brick kiln detection system for large countries such as India and identify 7477 new brick kilns from 28 districts in 5 states in the Indo-Gangetic plain. We then showcase efficient ways to check policy violations such as high spatial density of kilns and abnormal increase over time in a region. We show that 90% of brick kilns in Delhi-NCR violate a density-based policy. Our framework can be directly adopted by the governments across the world to automate the policy regulations around brick kilns.","Wed, 21 Feb 2024 13:26:00 UTC (26,263 KB)"
"23","Photon Classification with Gradient Boosted Trees at CLAS12","Gregory Matousek, Anselm Vossen","High Energy Physics - Experiment (hep-ex)","Dihadron semi-inclusive deep inelastic scattering (SIDIS) of 10.6 GeV longitudinally polarized electrons off the proton has been measured using the CLAS12 detector at Jefferson Lab. Two separate channels, $\pi^+\pi^0$ and $\pi^-\pi^0$, were analyzed, requiring the reconstruction of diphoton pairs. In this analysis, we addressed the problem of false neutral particles being reconstructed by CLAS12's event builder, polluting the otherwise physical combinatorial background underneath the $\pi^0$ peak. A photon classifier using a Gradient Boosted Trees (GBTs) architecture was trained with Monte Carlo simulations to reduce the amount of background $\pi^0$'s. We show that the nearest-neighbor features learned by the model lead to a substantial increase in signal vs. background discrimination compared to previous CLAS12 $\pi^0$ analyses. The machine learning approach recovers several times more dihadron statistics for the dataset.","Tue, 20 Feb 2024 16:00:41 UTC (1,534 KB)"
"24","Experimental study of aerosol deposition in distal lung bronchioles","Arnab Kumar Mallik","Fluid Dynamics (physics.flu-dyn)","The deposition of micron particles finds importance in meteorology and several engineering applications such as deposition of dust in gas lines, carbon deposition in engine exhaust, designing effective air-cleaning systems and estimating deposition of inhaled drug or atmospheric pollutants to determine its consequences on human health. Although the existing literature on deposition in straight tubes is quite mature, an experimental study on deposition in micro capillaries with a wide ranges of Re that models particle dynamics in lungs, is missing. The deposition of atmospheric pollutants and nebulized drugs in the lung depends on various biological factors such as flow properties, lung morphology, breathing patterns, particle properties, deposition mechanism, etc. To complicate matters, each breath manifests flows spanning a wide range of Reynolds numbers in various regions of the lung. In this study, the deposition of nebulized aerosol was experimentally investigated in phantom bronchioles of diameters relevant to the 7th to the 23rd branching generations and over the entire range of Re manifest during one breathing cycle. The aerosol fluid was loaded with boron doped carbon quantum dots as a fluorophore. An aerosol was generated of this mixture fluid using an ultrasonic nebulizer, producing droplets of 6.5$\mu$m as the mean diameter. The amount of aerosol deposited on the bronchiole walls was measured using a spectrofluorometer. Finally, a universal bronchiole scale deposition model is proposed which can form the building block for lung-scale aerosol deposition prediction.","Mon, 19 Feb 2024 16:59:26 UTC (7,363 KB)"
"25","PureNav: A Personalized Navigation Service for Environmental Justice Communities Impacted by Planned Disruptions","Omar Hammad, Md Rezwanur Rahman, Nicholas Clements, Shivakant Mishra, Shelly Miller, Esther Sullivan","Social and Information Networks (cs.SI)","Planned disruptions such as highway constructions are commonplace nowadays and the communities living near these disruptions generally tend to be environmental justice communities -- low socioeconomic status with disproportionately high and adverse human health and environmental effects. A major concern is that such activities negatively impact people's well-being by disrupting their daily commutes via frequent road closures and increased dust and air pollution. This paper addresses this concern by developing a personalized navigation service called PureNav to mitigate the negative impacts of disruptions in daily commutes on people's well-being. PureNav has been designed using active engagement with four environmental justice communities affected by major highway construction. It has been deployed in the real world among the members of the four communities, and a detailed analysis of the data collected from this deployment as well as surveys show that PureNav is potentially useful in improving people's well-being. The paper describes the design, implementation, and evaluation of PureNav, and offers suggestions for further improving its efficacy.","Sat, 17 Feb 2024 03:29:20 UTC (6,086 KB)"
